accession_name,block,common_name,experiment,minicore_id,plot_name,plot_number,population_name,range,row,seedlot_name,sort,first flower date,seed count
CB3,,,GHC2501,MinicoreUCR_013,GHC2501_147,147,UCR_mini_core,,,UCR_MinicoreUCR_013_2025,47,3/10/26,24
IAR7/8-4-5-1,,,GHC2501,MinicoreUCR_032,GHC2501_160,160,UCR_mini_core,,,UCR_MinicoreUCR_032_2025,60,3/13/26,24
IT86D-364,,,GHC2501,MinicoreUCR_048,GHC2501_175,175,UCR_mini_core,,,UCR_MinicoreUCR_048_2025,75,3/13/26,24
IT95M-190,,,GHC2501,MinicoreUCR_056,GHC2501_183,183,UCR_mini_core,,,UCR_MinicoreUCR_056_2025,83,3/9/26,24
TVu-2322,,,GHC2501,MinicoreUCR_221,GHC2501_325,325,UCR_mini_core,,,UCR_MinicoreUCR_221_2025,225,,24
Danila,,,GHC2501,MinicoreUCR_022,GHC2501_151,151,UCR_mini_core,,,UCR_MinicoreUCR_022_2025,51,3/13/26,25
INIA-5E,,,GHC2501,MinicoreUCR_039,GHC2501_167,167,UCR_mini_core,,,UCR_MinicoreUCR_039_2025,67,,25
INIA-34,,,GHC2501,MinicoreUCR_036,GHC2501_164,164,UCR_mini_core,,,UCR_MinicoreUCR_036_2025,64,3/27/26,26
IT95K-1093-5,,,GHC2501,MinicoreUCR_052,GHC2501_179,179,UCR_mini_core,,,UCR_MinicoreUCR_052_2025,79,4/1/26,26
TVu-15687,,,GHC2501,MinicoreUCR_183,GHC2501_296,296,UCR_mini_core,,,UCR_MinicoreUCR_183_2025,196,4/1/26,26
TVu-8713,,,GHC2501,MinicoreUCR_317,GHC2501_396,396,UCR_mini_core,,,UCR_MinicoreUCR_317_2025,296,4/1/26,26
Apagbaala,,,GHC2501,MinicoreUCR_006,GHC2501_143,143,UCR_mini_core,,,UCR_MinicoreUCR_006_2025,43,3/13/26,27
IT89KD-288,,,GHC2501,MinicoreUCR_049,GHC2501_176,176,UCR_mini_core,,,UCR_MinicoreUCR_049_2025,76,4/1/26,27
IT95K-1105-5,,,GHC2501,MinicoreUCR_053,GHC2501_180,180,UCR_mini_core,,,UCR_MinicoreUCR_053_2025,80,3/10/26,27
IT98K-555-1,,,GHC2501,MinicoreUCR_073,GHC2501_198,198,UCR_mini_core,,,UCR_MinicoreUCR_073_2025,98,,27
TVu-1124,,,GHC2501,MinicoreUCR_115,GHC2501_234,234,UCR_mini_core,,,UCR_MinicoreUCR_115_2025,134,,27
TVu-14336,,,GHC2501,MinicoreUCR_149,GHC2501_266,266,UCR_mini_core,,,UCR_MinicoreUCR_149_2025,166,,27
TVu-7362,,,GHC2501,MinicoreUCR_287,GHC2501_373,373,UCR_mini_core,,,UCR_MinicoreUCR_287_2025,273,,27
UCR_5275,,UCR 5275,GHC2501,MinicoreUCR_374,GHC2501_438,438,UCR_mini_core,,,UCR_MinicoreUCR_374_2025,338,4/1/26,27
IT96D-610,,,GHC2501,MinicoreUCR_057,GHC2501_184,184,UCR_mini_core,,,UCR_MinicoreUCR_057_2025,84,3/23/26,28
TVu-4669,,,GHC2501,MinicoreUCR_262,GHC2501_359,359,UCR_mini_core,,,UCR_MinicoreUCR_262_2025,259,3/30/26,28
TVu-16504,,,GHC2501,MinicoreUCR_205,GHC2501_313,313,UCR_mini_core,,,UCR_MinicoreUCR_205_2025,213,3/16/26,29
TVu-4984,,,GHC2501,MinicoreUCR_265,GHC2501_362,362,UCR_mini_core,,,UCR_MinicoreUCR_265_2025,262,4/1/26,29
UCR_24,,UCR 24,GHC2501,MinicoreUCR_363,GHC2501_432,432,UCR_mini_core,,,UCR_MinicoreUCR_363_2025,332,3/13/26,29
TVu-7647,1,,GHC2501,MinicoreUCR_292,GHC2501_127,127,UCR_mini_core,,,UCR_MinicoreUCR_292_2025,27,,30
IT00K-901-6,,,GHC2501,MinicoreUCR_042,GHC2501_169,169,UCR_mini_core,,,UCR_MinicoreUCR_042_2025,69,3/6/26,30
KVx-421-25,,KVx 421-25,GHC2501,MinicoreUCR_078,GHC2501_202,202,UCR_mini_core,,,UCR_MinicoreUCR_078_2025,102,3/13/26,30
Lyg_321-2,,Lyg 321-2,GHC2501,MinicoreUCR_083,GHC2501_207,207,UCR_mini_core,,,UCR_MinicoreUCR_083_2025,107,3/13/26,30
TVu-14401,,,GHC2501,MinicoreUCR_153,GHC2501_270,270,UCR_mini_core,,,UCR_MinicoreUCR_153_2025,170,,30
TVu-7625,,,GHC2501,MinicoreUCR_290,GHC2501_375,375,UCR_mini_core,,,UCR_MinicoreUCR_290_2025,275,,30
UCR_1342,,UCR 1342,GHC2501,MinicoreUCR_359,GHC2501_428,428,UCR_mini_core,,,UCR_MinicoreUCR_359_2025,328,,30
Cp_5556,,Cp 5556,GHC2501,MinicoreUCR_393,GHC2501_455,455,UCR_mini_core,,,UCR_MinicoreUCR_393_2025,355,3/25/26,30
Vg72,,,GHC2501,MinicoreUCR_401,GHC2501_462,462,UCR_mini_core,,,UCR_MinicoreUCR_401_2025,362,3/12/26,30
TVu-1715,,,GHC2501,MinicoreUCR_210,GHC2501_316,316,UCR_mini_core,,,UCR_MinicoreUCR_210_2025,216,3/16/26,31
TVu-2168,,,GHC2501,MinicoreUCR_219,GHC2501_323,323,UCR_mini_core,,,UCR_MinicoreUCR_219_2025,223,,31
CB46,,,GHC2501,MinicoreUCR_403,GHC2501_464,464,UCR_mini_core,,,UCR_MinicoreUCR_403_2025,364,3/13/26,31
Tete-2,1,,GHC2501,MinicoreUCR_100,GHC2501_108,108,UCR_mini_core,,,UCR_MinicoreUCR_100_2025,8,3/23/26,32
Mougne,,,GHC2501,MinicoreUCR_087,GHC2501_210,210,UCR_mini_core,,,UCR_MinicoreUCR_087_2025,110,,32
TVu-2280,,,GHC2501,MinicoreUCR_220,GHC2501_324,324,UCR_mini_core,,,UCR_MinicoreUCR_220_2025,224,3/23/26,32
IT84S-2246,,,GHC2501,MinicoreUCR_046,GHC2501_173,173,UCR_mini_core,,,UCR_MinicoreUCR_046_2025,73,3/13/26,33
IT93K-503-1,,,GHC2501,MinicoreUCR_051,GHC2501_178,178,UCR_mini_core,,,UCR_MinicoreUCR_051_2025,78,3/30/26,33
IT97K-499-39-1-1,,,GHC2501,MinicoreUCR_062,GHC2501_189,189,UCR_mini_core,,,UCR_MinicoreUCR_062_2025,89,3/13/26,33
TVu-16505,,,GHC2501,MinicoreUCR_206,GHC2501_314,314,UCR_mini_core,,,UCR_MinicoreUCR_206_2025,214,3/23/26,33
IT98D-1399,,,GHC2501,MinicoreUCR_066,GHC2501_192,192,UCR_mini_core,,,UCR_MinicoreUCR_066_2025,92,3/11/26,34
TVu-2680,,,GHC2501,MinicoreUCR_227,GHC2501_331,331,UCR_mini_core,,,UCR_MinicoreUCR_227_2025,231,3/16/26,34
TVu-415,,,GHC2501,MinicoreUCR_253,GHC2501_352,352,UCR_mini_core,,,UCR_MinicoreUCR_253_2025,252,,34
TVu-4711,,,GHC2501,MinicoreUCR_264,GHC2501_361,361,UCR_mini_core,,,UCR_MinicoreUCR_264_2025,261,3/16/26,34
TVu-7642,,,GHC2501,MinicoreUCR_291,GHC2501_376,376,UCR_mini_core,,,UCR_MinicoreUCR_291_2025,276,4/1/26,34
TVu-6477,1,,GHC2501,MinicoreUCR_272,GHC2501_123,123,UCR_mini_core,,,UCR_MinicoreUCR_272_2025,23,3/31/26,35
IT97K-499-35-1-1,,,GHC2501,MinicoreUCR_061,GHC2501_188,188,UCR_mini_core,,,UCR_MinicoreUCR_061_2025,88,3/16/26,35
TVu-12746,,,GHC2501,MinicoreUCR_119,GHC2501_238,238,UCR_mini_core,,,UCR_MinicoreUCR_119_2025,138,3/19/26,35
TVu-15610,,,GHC2501,MinicoreUCR_178,GHC2501_291,291,UCR_mini_core,,,UCR_MinicoreUCR_178_2025,191,3/13/26,35
TVu-8656,,,GHC2501,MinicoreUCR_313,GHC2501_392,392,UCR_mini_core,,,UCR_MinicoreUCR_313_2025,292,4/1/26,36
TVu-9516,,,GHC2501,MinicoreUCR_343,GHC2501_413,413,UCR_mini_core,,,UCR_MinicoreUCR_343_2025,313,4/1/26,36
