accession_name,block,common_name,experiment,minicore_id,plot_name,plot_number,population_name,range,row,seedlot_name,sort,first flower date,seed count
TVu-1556,,,GHC2501,MinicoreUCR_176,GHC2501_289,289,UCR_mini_core,,,UCR_MinicoreUCR_176_2025,189,4/1/26,70
TVu-13939,,,GHC2501,MinicoreUCR_135,GHC2501_252,252,UCR_mini_core,,,UCR_MinicoreUCR_135_2025,152,3/16/26,71
TVu-16304,,,GHC2501,MinicoreUCR_198,GHC2501_307,307,UCR_mini_core,,,UCR_MinicoreUCR_198_2025,207,3/19/26,71
TVu-15973,,,GHC2501,MinicoreUCR_190,GHC2501_300,300,UCR_mini_core,,,UCR_MinicoreUCR_190_2025,200,,72
TVu-84,,,GHC2501,MinicoreUCR_308,GHC2501_388,388,UCR_mini_core,,,UCR_MinicoreUCR_308_2025,288,,73
TVu-9508,,,GHC2501,MinicoreUCR_342,GHC2501_412,412,UCR_mini_core,,,UCR_MinicoreUCR_342_2025,312,3/16/26,73
TVu-14248,,,GHC2501,MinicoreUCR_145,GHC2501_262,262,UCR_mini_core,,,UCR_MinicoreUCR_145_2025,162,,76
TVu-946,,,GHC2501,MinicoreUCR_335,GHC2501_406,406,UCR_mini_core,,,UCR_MinicoreUCR_335_2025,306,,78
TVu-1886,,,GHC2501,MinicoreUCR_215,GHC2501_321,321,UCR_mini_core,,,UCR_MinicoreUCR_215_2025,221,3/30/26,82
TVu-3360,,,GHC2501,MinicoreUCR_239,GHC2501_342,342,UCR_mini_core,,,UCR_MinicoreUCR_239_2025,242,,83
TVu-3076,,,GHC2501,MinicoreUCR_236,GHC2501_339,339,UCR_mini_core,,,UCR_MinicoreUCR_236_2025,239,,85
TVu-3043,,,GHC2501,MinicoreUCR_235,GHC2501_338,338,UCR_mini_core,,,UCR_MinicoreUCR_235_2025,238,,86
TVu-3156,,,GHC2501,MinicoreUCR_237,GHC2501_340,340,UCR_mini_core,,,UCR_MinicoreUCR_237_2025,240,4/1/26,88
TVu-16220,,,GHC2501,MinicoreUCR_193,GHC2501_303,303,UCR_mini_core,,,UCR_MinicoreUCR_193_2025,203,3/10/26,90
TVu-2398,,,GHC2501,MinicoreUCR_222,GHC2501_326,326,UCR_mini_core,,,UCR_MinicoreUCR_222_2025,226,4/1/26,90
TVu-12710,,,GHC2501,MinicoreUCR_118,GHC2501_237,237,UCR_mini_core,,,UCR_MinicoreUCR_118_2025,137,4/1/26,99
TVu-2968,,,GHC2501,MinicoreUCR_233,GHC2501_336,336,UCR_mini_core,,,UCR_MinicoreUCR_233_2025,236,4/1/26,140
PI 535810,,US-432,,,,,GRIN,,,GRIN_PI535810_2026,,,
PI 564741,,Carolina Sugar,,,,,GRIN,,,GRIN_PI564741_2026,,,
PI 578897,,Grif 9058,,,,,GRIN,,,GRIN_PI578897_2026,,,
PI 591476,,Kunde Zulu,,,,,GRIN,,,GRIN_PI591476_2026,,,
PI 597804,,Charleston Greenpack,,,,,GRIN,,,GRIN_PI597804_2026,,,
PI 601359,,Pinkeye Pink Pod,,,,,GRIN,,,GRIN_PI601359_2026,,,
PI 601453,,CT Pinkeye Purplehull,,,,,GRIN,,,GRIN_PI601453_2026,,,
PI 606785,,Petite-N-Green,,,,,GRIN,,,GRIN_PI606785_2026,,,
PI 302457,,TVu-1628,,,,,GRIN,,,GRIN_PI302457_2026,,,
PI 302458,,Tvu-2612,,,,,GRIN,,,GRIN_PI302458_2026,,,
PI 532807,,IT86D-1010,,,,,GRIN,,,GRIN_PI532807_2026,,,
PI 582920,,US 567,,,,,GRIN,,,GRIN_PI582920_2026,,,
PI 663151,,Carolina Cream,,,,,GRIN,,,GRIN_PI663151_2026,,,
PI 663152,,CR 22-2-21,,,,,GRIN,,,GRIN_PI663152_2026,,,
PI 663153,,CR 18-13-1,,,,,GRIN,,,GRIN_PI663153_2026,,,
PI 664513,,Santee Early Pinkeye,,,,,GRIN,,,GRIN_PI664513_2026,,,
PI 664514,,Kiawah,,,,,GRIN,,,GRIN_PI664514_2026,,,
PI 664515,,Bettergreen,,,,,GRIN,,,GRIN_PI664515_2026,,,
PI 664516,,Carolina Crowder,,,,,GRIN,,,GRIN_PI664516_2026,,,
PI 664517,,Bettergro Blackeye,,,,,GRIN,,,GRIN_PI664517_2026,,,
PI 664518,,Bettersnap,,,,,GRIN,,,GRIN_PI664518_2026,,,
PI 664519,,Tender Cream,,,,,GRIN,,,GRIN_PI664519_2026,,,
PI 664520,,Green Pixie,,,,,GRIN,,,GRIN_PI664520_2026,,,
PI 664521,,Charleston Blackeye,,,,,GRIN,,,GRIN_PI664521_2026,,,
PI 664522,,Charleston Nemagreen,,,,,GRIN,,,GRIN_PI664522_2026,,,
PI 664523,,DoubleGreen Delight,,,,,GRIN,,,GRIN_PI664523_2026,,,
PI 664524,,Green Dixie Blackeye,,,,,GRIN,,,GRIN_PI664524_2026,,,
PI 664525,,KnuckleHull-VNR,,,,,GRIN,,,GRIN_PI664525_2026,,,
PI 664526,,Baby Cream,,,,,GRIN,,,GRIN_PI664526_2026,,,
PI 664527,,ZipperCream-GC,,,,,GRIN,,,GRIN_PI664527_2026,,,
PI 664528,,WhiteAcre-DG,,,,,GRIN,,,GRIN_PI664528_2026,,,
PI 664529,,US-311,,,,,GRIN,,,GRIN_PI664529_2026,,,
PI 664530,,US-427,,,,,GRIN,,,GRIN_PI664530_2026,,,
PI 664531,,US-1136,,,,,GRIN,,,GRIN_PI664531_2026,,,
PI 664532,,US-1137,,,,,GRIN,,,GRIN_PI664532_2026,,,
PI 664533,,US-1138,,,,,GRIN,,,GRIN_PI664533_2026,,,
PI 664534,,Colossus 80,,,,,GRIN,,,GRIN_PI664534_2026,,,
PI 664535,,CR 17-1-34,,,,,GRIN,,,GRIN_PI664535_2026,,,
PI 666249,,Colossus,,,,,GRIN,,,GRIN_PI666249_2026,,,
Iron Clay,,,,,,,,,,SouthernExposureSeedExchange_IronClay_2026,,,
Top Pick Pinkeye Pea,,,,,,,,,,Hoss_TopPickPinkeyePea_2024,,,
Dixie Lee Pea,,,,,,,,,,Hoss_DixieLeePea_2024,,,
