experiment,location,unique_id,plot,range,row,block,accession_name,seedlot_name,sort
CP2501,PDREC_F38,CP2501_204,212,2,4,2,Knucklehull-VNR,SouthernExposureSeedExchange_Knucklehull-VNR_2025,19
CP2501,PDREC_F39,CP2501_205,211,2,5,2,Carolina Crowder,SouthernExposureSeedExchange_CarolinaCrowder_2025,20
CP2501,PDREC_F40,CP2501_206,210,2,6,2,Hercules,SouthernExposureSeedExchange_Hercules_2025,21
CP2501,PDREC_F41,CP2501_207,209,2,7,2,Clemson Purple,SCCropImprovement_ClemsonPurple_2025,22
CP2501,PDREC_F42,CP2501_208,208,2,8,2,Green Dixie Blackeye,SouthernExposureSeedExchange_GreenDixieBlackeye_2025,23
CP2501,PDREC_F43,CP2501_209,207,2,9,2,Coronet Pinkeye Purplehull,KellySeedDillon_CoronetPinkeyePurplehull_2024,24
CP2501,PDREC_F44,CP2501_210,206,2,10,2,Bettersnap,SouthernExposureSeedExchange_Bettersnap_2025,25
CP2501,PDREC_F45,CP2501_211,205,2,11,2,Colossus 80,SCCropImprovement_Colossus80_2026,26
CP2501,PDREC_F46,CP2501_212,204,2,12,2,Cowpea Phenomenal,HarrisSeed_CowpeaPhenomenal_2025,27
CP2501,PDREC_F47,CP2501_213,203,2,13,2,Texas Big Boy Pea,Hoss_TexasBigBoyPea_2024,28
CP2501,PDREC_F48,CP2501_214,202,2,14,2,Top Pick Pinkeye Pea,Hoss_TopPickPinkeyePea_2024,29
CP2501,PDREC_F49,CP2501_215,201,2,15,2,Big Red Ripper,SouthernExposureSeedExchange_BigRedRipper_2025,30
CP2501,PDREC_F50,CP2501_301,301,3,1,3,Hercules,SouthernExposureSeedExchange_Hercules_2025,31
CP2501,PDREC_F51,CP2501_302,302,3,2,3,Zipper Cream,SouthernExposureSeedExchange_ZipperCream_2025,32
CP2501,PDREC_F52,CP2501_303,303,3,3,3,Bettersnap,SouthernExposureSeedExchange_Bettersnap_2025,33
CP2501,PDREC_F53,CP2501_304,304,3,4,3,Cowpea Phenomenal,HarrisSeed_CowpeaPhenomenal_2025,34
CP2501,PDREC_F54,CP2501_305,305,3,5,3,Dixie Lee Pea,KellySeedDillon_DixieLeaPea_2024,35
CP2501,PDREC_F55,CP2501_306,306,3,6,3,Texas Big Boy Pea,Hoss_TexasBigBoyPea_2024,36
CP2501,PDREC_F56,CP2501_307,307,3,7,3,Clemson Purple,SCCropImprovement_ClemsonPurple_2025,37
CP2501,PDREC_F57,CP2501_308,308,3,8,3,Green Dixie Blackeye,SouthernExposureSeedExchange_GreenDixieBlackeye_2025,38
CP2501,PDREC_F58,CP2501_309,309,3,9,3,Carolina Crowder,SouthernExposureSeedExchange_CarolinaCrowder_2025,39
CP2501,PDREC_F59,CP2501_310,310,3,10,3,Papago Tohono O'odham,SouthernExposureSeedExchange_PapagoTohonoO'odham _2025,40
CP2501,PDREC_F60,CP2501_311,311,3,11,3,Top Pick Pinkeye Pea,Hoss_TopPickPinkeyePea_2024,41
CP2501,PDREC_F61,CP2501_312,312,3,12,3,Colossus 80,SCCropImprovement_Colossus80_2027,42
CP2501,PDREC_F62,CP2501_313,313,3,13,3,Big Red Ripper,SouthernExposureSeedExchange_BigRedRipper_2025,43
CP2501,PDREC_F63,CP2501_314,314,3,14,3,Coronet Pinkeye Purplehull,KellySeedDillon_CoronetPinkeyePurplehull_2024,44
CP2501,PDREC_F64,CP2501_315,315,3,15,3,Knucklehull-VNR,SouthernExposureSeedExchange_Knucklehull-VNR_2025,45
CP2501,PDREC_F65,CP2501_401,415,4,1,4,Carolina Crowder,SouthernExposureSeedExchange_CarolinaCrowder_2025,46
CP2501,PDREC_F66,CP2501_402,414,4,2,4,Green Dixie Blackeye,SouthernExposureSeedExchange_GreenDixieBlackeye_2025,47
CP2501,PDREC_F67,CP2501_403,413,4,3,4,Clemson Purple,SCCropImprovement_ClemsonPurple_2025,48
CP2501,PDREC_F68,CP2501_404,412,4,4,4,Papago Tohono O'odham,SouthernExposureSeedExchange_PapagoTohonoO'odham _2025,49
CP2501,PDREC_F69,CP2501_405,411,4,5,4,Coronet Pinkeye Purplehull,KellySeedDillon_CoronetPinkeyePurplehull_2024,50
CP2501,PDREC_F70,CP2501_406,410,4,6,4,Dixie Lee Pea,KellySeedDillon_DixieLeaPea_2024,51
CP2501,PDREC_F71,CP2501_407,409,4,7,4,Texas Big Boy Pea,Hoss_TexasBigBoyPea_2024,52
CP2501,PDREC_F72,CP2501_408,408,4,8,4,Top Pick Pinkeye Pea,Hoss_TopPickPinkeyePea_2024,53
CP2501,PDREC_F73,CP2501_409,407,4,9,4,Knucklehull-VNR,SouthernExposureSeedExchange_Knucklehull-VNR_2025,54
CP2501,PDREC_F74,CP2501_410,406,4,10,4,Big Red Ripper,SouthernExposureSeedExchange_BigRedRipper_2025,55
CP2501,PDREC_F75,CP2501_411,405,4,11,4,Cowpea Phenomenal,HarrisSeed_CowpeaPhenomenal_2025,56
CP2501,PDREC_F76,CP2501_412,404,4,12,4,Hercules,SouthernExposureSeedExchange_Hercules_2025,57
CP2501,PDREC_F77,CP2501_413,403,4,13,4,Bettersnap,SouthernExposureSeedExchange_Bettersnap_2025,58
CP2501,PDREC_F78,CP2501_414,402,4,14,4,Colossus 80,SCCropImprovement_Colossus80_2028,59
CP2501,PDREC_F79,CP2501_415,401,4,15,4,Zipper Cream,SouthernExposureSeedExchange_ZipperCream_2025,60
