seedlot_name,population_name,accession_name,common_name,minicore_id,short_day,DNA_id,year,amount,weight_gram,operator_name,description,box_name,quality,source
UCR_MinicoreUCR_012_2025,UCR_mini_core,CB27,,MinicoreUCR_012,,4898,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_013_2025,UCR_mini_core,CB3,,MinicoreUCR_013,,4899,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_014_2025,UCR_mini_core,CB5-2,CB46 (but wrong),MinicoreUCR_014,,4900,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_020_2025,UCR_mini_core,China_501,China 501,MinicoreUCR_020,,4906,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_021_2025,UCR_mini_core,CRSP_Niebe,CRSP Niebe,MinicoreUCR_021,,4907,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_022_2025,UCR_mini_core,Danila,,MinicoreUCR_022,,4908,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_023_2025,UCR_mini_core,Early_Scarlet,Early Scarlet,MinicoreUCR_023,,4909,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_024_2025,UCR_mini_core,Ecute,,MinicoreUCR_024,,4910,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_025_2025,UCR_mini_core,Faef-14-Inhaca-E,,MinicoreUCR_025,,4911,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_026_2025,UCR_mini_core,FN-1-13-04,,MinicoreUCR_026,,4912,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_027_2025,UCR_mini_core,FN-1-14-04,,MinicoreUCR_027,,4913,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_029_2025,UCR_mini_core,FN-2-13-04,,MinicoreUCR_029,,4915,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_030_2025,UCR_mini_core,French_Bean,French Bean,MinicoreUCR_030,,4916,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_031_2025,UCR_mini_core,Gorda,,MinicoreUCR_031,,4917,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_032_2025,UCR_mini_core,IAR7/8-4-5-1,,MinicoreUCR_032,,4918,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_033_2025,UCR_mini_core,Ife_Brown,Ife Brown,MinicoreUCR_033,,4919,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_034_2025,UCR_mini_core,INIA-120,,MinicoreUCR_034,,5695,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_035_2025,UCR_mini_core,INIA-31,,MinicoreUCR_035,,4921,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_036_2025,UCR_mini_core,INIA-34,,MinicoreUCR_036,,4922,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_037_2025,UCR_mini_core,INIA-40,,MinicoreUCR_037,,4923,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_038_2025,UCR_mini_core,INIA-41,,MinicoreUCR_038,,4924,2025,5,,W.Spivey,,,,
