seedlot_name,population_name,accession_name,common_name,minicore_id,short_day,DNA_id,year,amount,weight_gram,operator_name,description,box_name,quality,source
UCR_MinicoreUCR_174_2025,UCR_mini_core,TVu-15445,,MinicoreUCR_174,,5059,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_176_2025,UCR_mini_core,TVu-1556,,MinicoreUCR_176,,5061,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_177_2025,UCR_mini_core,TVu-15591,,MinicoreUCR_177,,5062,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_178_2025,UCR_mini_core,TVu-15610,,MinicoreUCR_178,,5063,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_179_2025,UCR_mini_core,TVu-15636,,MinicoreUCR_179,,5064,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_180_2025,UCR_mini_core,TVu-15639,,MinicoreUCR_180,,5065,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_181_2025,UCR_mini_core,TVu-15653,,MinicoreUCR_181,,5066,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_182_2025,UCR_mini_core,TVu-15661,,MinicoreUCR_182,,5067,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_183_2025,UCR_mini_core,TVu-15687,,MinicoreUCR_183,,5068,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_185_2025,UCR_mini_core,TVu-1583,,MinicoreUCR_185,,5070,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_187_2025,UCR_mini_core,TVu-15861,,MinicoreUCR_187,,5072,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_188_2025,UCR_mini_core,TVu-15878,,MinicoreUCR_188,,5073,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_190_2025,UCR_mini_core,TVu-15973,,MinicoreUCR_190,,5075,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_191_2025,UCR_mini_core,TVu-15995,,MinicoreUCR_191,,5076,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_192_2025,UCR_mini_core,TVu-1609,,MinicoreUCR_192,,5077,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_193_2025,UCR_mini_core,TVu-16220,,MinicoreUCR_193,,5078,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_194_2025,UCR_mini_core,TVu-16237,,MinicoreUCR_194,,5079,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_196_2025,UCR_mini_core,TVu-16269,,MinicoreUCR_196,,5081,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_197_2025,UCR_mini_core,TVu-16278,,MinicoreUCR_197,,5082,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_198_2025,UCR_mini_core,TVu-16304,,MinicoreUCR_198,,5083,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_199_2025,UCR_mini_core,TVu-16368,,MinicoreUCR_199,,5084,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_200_2025,UCR_mini_core,TVu-1637,,MinicoreUCR_200,,5085,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_201_2025,UCR_mini_core,TVu-16403,,MinicoreUCR_201,,5086,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_202_2025,UCR_mini_core,TVu-16408,,MinicoreUCR_202,,5087,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_203_2025,UCR_mini_core,TVu-16449,,MinicoreUCR_203,1,5088,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_204_2025,UCR_mini_core,TVu-16465,,MinicoreUCR_204,,5089,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_205_2025,UCR_mini_core,TVu-16504,,MinicoreUCR_205,,5090,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_206_2025,UCR_mini_core,TVu-16505,,MinicoreUCR_206,,5091,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_207_2025,UCR_mini_core,TVu-16521,,MinicoreUCR_207,,5092,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_210_2025,UCR_mini_core,TVu-1715,,MinicoreUCR_210,,5095,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_211_2025,UCR_mini_core,TVu-1727,,MinicoreUCR_211,,5096,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_212_2025,UCR_mini_core,TVu-1775,,MinicoreUCR_212,,5097,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_213_2025,UCR_mini_core,TVu-1780,,MinicoreUCR_213,,5098,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_214_2025,UCR_mini_core,TVu-1811,,MinicoreUCR_214,,5099,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_215_2025,UCR_mini_core,TVu-1886,,MinicoreUCR_215,,5100,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_216_2025,UCR_mini_core,TVu-1916,,MinicoreUCR_216,1,5101,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_217_2025,UCR_mini_core,TVu-201,,MinicoreUCR_217,1,5102,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_218_2025,UCR_mini_core,TVu-21,,MinicoreUCR_218,,5103,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_219_2025,UCR_mini_core,TVu-2168,,MinicoreUCR_219,,5104,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_220_2025,UCR_mini_core,TVu-2280,,MinicoreUCR_220,,5105,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_221_2025,UCR_mini_core,TVu-2322,,MinicoreUCR_221,,5106,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_222_2025,UCR_mini_core,TVu-2398,,MinicoreUCR_222,,5107,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_223_2025,UCR_mini_core,TVu-2418,,MinicoreUCR_223,,5108,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_224_2025,UCR_mini_core,TVu-2449,,MinicoreUCR_224,,5109,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_225_2025,UCR_mini_core,TVu-2548,,MinicoreUCR_225,,5110,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_226_2025,UCR_mini_core,TVu-264,,MinicoreUCR_226,,5111,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_227_2025,UCR_mini_core,TVu-2680,,MinicoreUCR_227,,5112,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_228_2025,UCR_mini_core,TVu-2723,,MinicoreUCR_228,,5113,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_229_2025,UCR_mini_core,TVu-2736,,MinicoreUCR_229,,5114,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_231_2025,UCR_mini_core,TVu-2845,,MinicoreUCR_231,,5116,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_232_2025,UCR_mini_core,TVu-2933,,MinicoreUCR_232,,5117,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_233_2025,UCR_mini_core,TVu-2968,,MinicoreUCR_233,,5118,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_234_2025,UCR_mini_core,TVu-2971,,MinicoreUCR_234,,5119,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_235_2025,UCR_mini_core,TVu-3043,,MinicoreUCR_235,,5120,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_236_2025,UCR_mini_core,TVu-3076,,MinicoreUCR_236,,5121,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_237_2025,UCR_mini_core,TVu-3156,,MinicoreUCR_237,,5122,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_238_2025,UCR_mini_core,TVu-3282,,MinicoreUCR_238,,5123,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_239_2025,UCR_mini_core,TVu-3360,,MinicoreUCR_239,,5124,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_240_2025,UCR_mini_core,TVu-3552,,MinicoreUCR_240,,5125,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_241_2025,UCR_mini_core,TVu-3565,,MinicoreUCR_241,,5126,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_242_2025,UCR_mini_core,TVu-3652,,MinicoreUCR_242,1,5127,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_243_2025,UCR_mini_core,TVu-3657,,MinicoreUCR_243,,5128,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_244_2025,UCR_mini_core,TVu-3804,,MinicoreUCR_244,,5272,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_245_2025,UCR_mini_core,TVu-3817,,MinicoreUCR_245,,5129,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_246_2025,UCR_mini_core,TVu-3830,,MinicoreUCR_246,1,5130,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_247_2025,UCR_mini_core,TVu-3842,,MinicoreUCR_247,,5131,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_248_2025,UCR_mini_core,TVu-393,,MinicoreUCR_248,,5132,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_249_2025,UCR_mini_core,TVu-3947,,MinicoreUCR_249,,5133,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_250_2025,UCR_mini_core,TVu-3965,,MinicoreUCR_250,,5134,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_252_2025,UCR_mini_core,TVu-4097,,MinicoreUCR_252,1,5136,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_253_2025,UCR_mini_core,TVu-415,,MinicoreUCR_253,,5137,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_254_2025,UCR_mini_core,TVu-43,,MinicoreUCR_254,,5138,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_255_2025,UCR_mini_core,TVu-4316,,MinicoreUCR_255,,5139,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_256_2025,UCR_mini_core,TVu-4535,,MinicoreUCR_256,,5140,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_257_2025,UCR_mini_core,TVu-4545,,MinicoreUCR_257,1,5141,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_258_2025,UCR_mini_core,TVu-4557,,MinicoreUCR_258,,5142,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_259_2025,UCR_mini_core,TVu-456,,MinicoreUCR_259,,5143,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_260_2025,UCR_mini_core,TVu-4622,,MinicoreUCR_260,,5144,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_261_2025,UCR_mini_core,TVu-4632,,MinicoreUCR_261,1,5145,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_262_2025,UCR_mini_core,TVu-4669,,MinicoreUCR_262,,5146,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_263_2025,UCR_mini_core,TVu-467,,MinicoreUCR_263,,5147,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_264_2025,UCR_mini_core,TVu-4711,,MinicoreUCR_264,,5148,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_265_2025,UCR_mini_core,TVu-4984,,MinicoreUCR_265,,5149,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_266_2025,UCR_mini_core,TVu-53,,MinicoreUCR_266,,5150,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_267_2025,UCR_mini_core,TVu-5444,,MinicoreUCR_267,,5151,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_268_2025,UCR_mini_core,TVu-6356,,MinicoreUCR_268,,5152,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_269_2025,UCR_mini_core,TVu-6365,,MinicoreUCR_269,,5153,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_270_2025,UCR_mini_core,TVu-6439,,MinicoreUCR_270,,5154,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_271_2025,UCR_mini_core,TVu-6464,,MinicoreUCR_271,,5155,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_272_2025,UCR_mini_core,TVu-6477,,MinicoreUCR_272,1,5156,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_273_2025,UCR_mini_core,TVu-6493,,MinicoreUCR_273,,5157,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_274_2025,UCR_mini_core,TVu-6641,,MinicoreUCR_274,,5158,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_275_2025,UCR_mini_core,TVu-6642,,MinicoreUCR_275,1,5159,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_276_2025,UCR_mini_core,TVu-6643,,MinicoreUCR_276,1,5160,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_277_2025,UCR_mini_core,TVu-6644,,MinicoreUCR_277,1,5161,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_278_2025,UCR_mini_core,TVu-6663,,MinicoreUCR_278,,5162,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_282_2025,UCR_mini_core,TVu-6968,,MinicoreUCR_282,,5166,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_287_2025,UCR_mini_core,TVu-7362,,MinicoreUCR_287,,5720,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_289_2025,UCR_mini_core,TVu-7559,,MinicoreUCR_289,,5173,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_290_2025,UCR_mini_core,TVu-7625,,MinicoreUCR_290,,5174,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_291_2025,UCR_mini_core,TVu-7642,,MinicoreUCR_291,,5175,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_292_2025,UCR_mini_core,TVu-7647,,MinicoreUCR_292,1,5176,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_293_2025,UCR_mini_core,TVu-7684,,MinicoreUCR_293,,5177,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_294_2025,UCR_mini_core,TVu-7719,,MinicoreUCR_294,,5178,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_295_2025,UCR_mini_core,TVu-7739,,MinicoreUCR_295,,5179,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_296_2025,UCR_mini_core,TVu-7755,,MinicoreUCR_296,,5180,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_297_2025,UCR_mini_core,TVu-7778,,MinicoreUCR_297,,5181,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_298_2025,UCR_mini_core,TVu-7798,,MinicoreUCR_298,1,5182,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_299_2025,UCR_mini_core,TVu-7971,,MinicoreUCR_299,,5183,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_300_2025,UCR_mini_core,TVu-7991,,MinicoreUCR_300,1,5184,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_301_2025,UCR_mini_core,TVu-8,,MinicoreUCR_301,,5185,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_302_2025,UCR_mini_core,TVu-8059,,MinicoreUCR_302,,5186,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_303_2025,UCR_mini_core,TVu-8072,,MinicoreUCR_303,,5187,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_304_2025,UCR_mini_core,TVu-8082,,MinicoreUCR_304,,5188,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_306_2025,UCR_mini_core,TVu-8262,,MinicoreUCR_306,1,5190,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_307_2025,UCR_mini_core,Tvu-8389,,MinicoreUCR_307,,5191,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_308_2025,UCR_mini_core,TVu-84,,MinicoreUCR_308,,5192,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_309_2025,UCR_mini_core,TVu-8612,,MinicoreUCR_309,,5193,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_310_2025,UCR_mini_core,TVu-8622,,MinicoreUCR_310,,5194,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_311_2025,UCR_mini_core,TVu-8631,,MinicoreUCR_311,,5195,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_312_2025,UCR_mini_core,TVu-8641,,MinicoreUCR_312,1,5196,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_313_2025,UCR_mini_core,TVu-8656,,MinicoreUCR_313,,5197,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_314_2025,UCR_mini_core,TVu-8671,,MinicoreUCR_314,,5198,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_315_2025,UCR_mini_core,TVu-8673,,MinicoreUCR_315,,5199,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_316_2025,UCR_mini_core,TVu-8702,,MinicoreUCR_316,,5200,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_317_2025,UCR_mini_core,TVu-8713,,MinicoreUCR_317,,5201,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_318_2025,UCR_mini_core,TVu-8775,,MinicoreUCR_318,,5202,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_319_2025,UCR_mini_core,TVu-8779,,MinicoreUCR_319,1,5203,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_320_2025,UCR_mini_core,TVu-8812,,MinicoreUCR_320,1,5204,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_321_2025,UCR_mini_core,TVu-8834,,MinicoreUCR_321,1,5205,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_322_2025,UCR_mini_core,TVu-8877,,MinicoreUCR_322,,5206,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_323_2025,UCR_mini_core,TVu-8883,,MinicoreUCR_323,1,5207,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_324_2025,UCR_mini_core,TVu-889,,MinicoreUCR_324,1,5208,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_325_2025,UCR_mini_core,TVu-8923,,MinicoreUCR_325,1,5209,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_326_2025,UCR_mini_core,TVu-8934,,MinicoreUCR_326,1,5210,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_327_2025,UCR_mini_core,TVu-9031,,MinicoreUCR_327,1,5211,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_328_2025,UCR_mini_core,TVu-9073,,MinicoreUCR_328,,5212,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_329_2025,UCR_mini_core,TVu-9095,,MinicoreUCR_329,,5213,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_330_2025,UCR_mini_core,TVu-9256,,MinicoreUCR_330,,5214,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_331_2025,UCR_mini_core,TVu-9257,,MinicoreUCR_331,,5215,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_332_2025,UCR_mini_core,TVu-9259,,MinicoreUCR_332,,5216,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_333_2025,UCR_mini_core,TVu-9265,,MinicoreUCR_333,,5217,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_334_2025,UCR_mini_core,TVu-9393,,MinicoreUCR_334,,5218,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_335_2025,UCR_mini_core,TVu-946,,MinicoreUCR_335,,5219,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_337_2025,UCR_mini_core,TVu-9469,,MinicoreUCR_337,,5221,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_338_2025,UCR_mini_core,TVu-9474,,MinicoreUCR_338,,5222,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_339_2025,UCR_mini_core,TVu-9486,,MinicoreUCR_339,,5223,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_340_2025,UCR_mini_core,TVu-9492,,MinicoreUCR_340,,5224,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_341_2025,UCR_mini_core,TVu-9506,,MinicoreUCR_341,,5225,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_342_2025,UCR_mini_core,TVu-9508,,MinicoreUCR_342,,5226,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_343_2025,UCR_mini_core,TVu-9516,,MinicoreUCR_343,,5227,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_344_2025,UCR_mini_core,TVu-9522,,MinicoreUCR_344,,5228,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_345_2025,UCR_mini_core,TVu-9556,,MinicoreUCR_345,,5229,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_346_2025,UCR_mini_core,TVu-9557,,MinicoreUCR_346,,5230,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_347_2025,UCR_mini_core,TVu-9620,,MinicoreUCR_347,,5231,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_348_2025,UCR_mini_core,TVu-9651,,MinicoreUCR_348,,5232,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_350_2025,UCR_mini_core,TVu-969,,MinicoreUCR_350,,5234,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_351_2025,UCR_mini_core,TVu-972,,MinicoreUCR_351,,5235,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_352_2025,UCR_mini_core,TVu-9749,,MinicoreUCR_352,,5236,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_353_2025,UCR_mini_core,TVu-9801,,MinicoreUCR_353,,5237,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_354_2025,UCR_mini_core,TVu-9820,,MinicoreUCR_354,,5238,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_355_2025,UCR_mini_core,TVu-9848,,MinicoreUCR_355,,5239,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_356_2025,UCR_mini_core,TVu-9866,,MinicoreUCR_356,,5240,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_357_2025,UCR_mini_core,UCR_11,UCR 11,MinicoreUCR_357,,5241,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_358_2025,UCR_mini_core,UCR_1340,UCR 1340,MinicoreUCR_358,,5242,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_359_2025,UCR_mini_core,UCR_1342,UCR 1342,MinicoreUCR_359,,5243,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_360_2025,UCR_mini_core,UCR_1432,UCR 1432,MinicoreUCR_360,,5244,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_361_2025,UCR_mini_core,UCR_162,UCR 162,MinicoreUCR_361,,5245,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_362_2025,UCR_mini_core,UCR_193,UCR 193,MinicoreUCR_362,,5246,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_363_2025,UCR_mini_core,UCR_24,UCR 24,MinicoreUCR_363,,5247,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_366_2025,UCR_mini_core,UCR_288,UCR 288,MinicoreUCR_366,,5250,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_368_2025,UCR_mini_core,UCR_3301,UCR 3301,MinicoreUCR_368,,5252,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_369_2025,UCR_mini_core,UCR_3326,UCR 3326,MinicoreUCR_369,,5253,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_372_2025,UCR_mini_core,UCR_5164,UCR 5164,MinicoreUCR_372,,4985,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_373_2025,UCR_mini_core,UCR_5272,UCR 5272,MinicoreUCR_373,,5256,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_374_2025,UCR_mini_core,UCR_5275,UCR 5275,MinicoreUCR_374,,5257,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_375_2025,UCR_mini_core,UCR_5279,UCR 5279,MinicoreUCR_375,,5258,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_376_2025,UCR_mini_core,UCR_5280,UCR 5280,MinicoreUCR_376,,5259,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_378_2025,UCR_mini_core,UCR_5353,UCR 5353,MinicoreUCR_378,,5261,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_379_2025,UCR_mini_core,UCR_5385,UCR 5385,MinicoreUCR_379,,5262,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_380_2025,UCR_mini_core,UCR_707,UCR 707,MinicoreUCR_380,,5263,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_381_2025,UCR_mini_core,UCR_739,UCR 739,MinicoreUCR_381,,5264,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_382_2025,UCR_mini_core,UCR_779,UCR 779,MinicoreUCR_382,,5265,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_383_2025,UCR_mini_core,UCR_830,UCR 830,MinicoreUCR_383,,5266,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_384_2025,UCR_mini_core,VAR-10B,,MinicoreUCR_384,,5267,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_385_2025,UCR_mini_core,VAR-3A,,MinicoreUCR_385,,5268,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_387_2025,UCR_mini_core,Xingove,,MinicoreUCR_387,,5270,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_388_2025,UCR_mini_core,Yacine,,MinicoreUCR_388,,5271,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_389_2025,UCR_mini_core,Vazzano_Brown,Vazzano Brown,MinicoreUCR_389,,5726,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_390_2025,UCR_mini_core,Vazzano_Black,Vazzano Black,MinicoreUCR_390,,5725,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_391_2025,UCR_mini_core,Cp_4877,Cp 4877,MinicoreUCR_391,,5885,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_392_2025,UCR_mini_core,Cp_4906,Cp 4906,MinicoreUCR_392,,5886,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_393_2025,UCR_mini_core,Cp_5556,Cp 5556,MinicoreUCR_393,,5887,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_394_2025,UCR_mini_core,Cp_5647,Cp 5647,MinicoreUCR_394,,5888,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_395_2025,UCR_mini_core,Vg48,,MinicoreUCR_395,,5889,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_396_2025,UCR_mini_core,Vg50,,MinicoreUCR_396,,5890,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_397_2025,UCR_mini_core,Vg56,,MinicoreUCR_397,,5891,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_398_2025,UCR_mini_core,Vg58,,MinicoreUCR_398,,5892,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_399_2025,UCR_mini_core,Vg62,,MinicoreUCR_399,,5893,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_401_2025,UCR_mini_core,Vg72,,MinicoreUCR_401,,5895,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_402_2025,UCR_mini_core,Vg73,,MinicoreUCR_402,,5896,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_403_2025,UCR_mini_core,CB46,,MinicoreUCR_403,,9043,2025,5,,W.Spivey,,,,
