seedlot_name,population_name,accession_name,common_name,minicore_id,short_day,DNA_id,year,amount,weight_gram,operator_name,description,box_name,quality,source
SouthernExposureSeedExchange_Hercules_2026,commercial,Hercules,Hercules,,,,2026,459,130.2,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_Knucklehull-VNR_2026,commercial,Knucklehull-VNR,Knucklehull-VNR,,,,2026,439,83.92,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_Colossus80_2026,commercial,Collossus 80,Collossus 80,,,,2026,511,119.3,W.Spivey,,,,Southern Exposure Seed Exchange
