"accession_name","block","experiment","location","plot","range","row","seedlot_name","sort","unique_id","flowering time","first pod","early season anthracnose","Number Of Plant Harvested","dry pod count","succulent pod count","Pod Photo","Total Dry Pod Weight","Total Succulent Pod Weight","Seed Weight From 10 Pods","Total Succulent Seed Weight","Notes","Late Season Anthracnose","Panicle_lengtg","Leaf_width","Num_tillers","Flower Count","Pod Count","1st Harvesting Day","Pod Counts For 12/5/24","Pod Counts For 12/12/24","Pod Counts For 12/19/24","Pod Counts For 12/26/24","Pod Counts For 1/27/25","Stand Counts","Vigor","Pod Weight Kg","Seed Weight"
"Big Red Ripper","2","CP2501","PDREC_F49","201","2","15","SouthernExposureSeedExchange_BigRedRipper_2025","30","CP2501_215",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hercules","3","CP2501","PDREC_F50","301","3","1","SouthernExposureSeedExchange_Hercules_2025","31","CP2501_301","2025-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zipper Cream","3","CP2501","PDREC_F51","302","3","2","SouthernExposureSeedExchange_ZipperCream_2025","32","CP2501_302","2025-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bettersnap","3","CP2501","PDREC_F52","303","3","3","SouthernExposureSeedExchange_Bettersnap_2025","33","CP2501_303","2025-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cowpea Phenomenal","3","CP2501","PDREC_F53","304","3","4","HarrisSeed_CowpeaPhenomenal_2025","34","CP2501_304","2025-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Lee Pea","3","CP2501","PDREC_F54","305","3","5","KellySeedDillon_DixieLeaPea_2024","35","CP2501_305","2025-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texas Big Boy Pea","3","CP2501","PDREC_F55","306","3","6","Hoss_TexasBigBoyPea_2024","36","CP2501_306",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clemson Purple","3","CP2501","PDREC_F56","307","3","7","SCCropImprovement_ClemsonPurple_2025","37","CP2501_307",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Dixie Blackeye","3","CP2501","PDREC_F57","308","3","8","SouthernExposureSeedExchange_GreenDixieBlackeye_2025","38","CP2501_308","2025-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carolina Crowder","3","CP2501","PDREC_F58","309","3","9","SouthernExposureSeedExchange_CarolinaCrowder_2025","39","CP2501_309","2025-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Papago Tohono O'odham","3","CP2501","PDREC_F59","310","3","10","SouthernExposureSeedExchange_PapagoTohonoO'odham _2025","40","CP2501_310",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top Pick Pinkeye Pea","3","CP2501","PDREC_F60","311","3","11","Hoss_TopPickPinkeyePea_2024","41","CP2501_311","2025-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ogle Southern Pea","3","CP2501","PDREC_F61","312","3","12","SCCropImprovement_OgleSouthernPea_2025","42","CP2501_312","2025-06-16",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Big Red Ripper","3","CP2501","PDREC_F62","313","3","13","SouthernExposureSeedExchange_BigRedRipper_2025","43","CP2501_313",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coronet Pinkeye Purplehull","3","CP2501","PDREC_F63","314","3","14","KellySeedDillon_CoronetPinkeyePurplehull_2024","44","CP2501_314","2025-06-13",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Knucklehull-VNR","3","CP2501","PDREC_F64","315","3","15","SouthernExposureSeedExchange_Knucklehull-VNR_2025","45","CP2501_315",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carolina Crowder","4","CP2501","PDREC_F65","415","4","1","SouthernExposureSeedExchange_CarolinaCrowder_2025","46","CP2501_401","2025-06-16",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Dixie Blackeye","4","CP2501","PDREC_F66","414","4","2","SouthernExposureSeedExchange_GreenDixieBlackeye_2025","47","CP2501_402","2025-06-14",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clemson Purple","4","CP2501","PDREC_F67","413","4","3","SCCropImprovement_ClemsonPurple_2025","48","CP2501_403","2025-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Papago Tohono O'odham","4","CP2501","PDREC_F68","412","4","4","SouthernExposureSeedExchange_PapagoTohonoO'odham _2025","49","CP2501_404",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coronet Pinkeye Purplehull","4","CP2501","PDREC_F69","411","4","5","KellySeedDillon_CoronetPinkeyePurplehull_2024","50","CP2501_405","2025-06-14",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Lee Pea","4","CP2501","PDREC_F70","410","4","6","KellySeedDillon_DixieLeaPea_2024","51","CP2501_406","2025-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texas Big Boy Pea","4","CP2501","PDREC_F71","409","4","7","Hoss_TexasBigBoyPea_2024","52","CP2501_407",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top Pick Pinkeye Pea","4","CP2501","PDREC_F72","408","4","8","Hoss_TopPickPinkeyePea_2024","53","CP2501_408","2025-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Knucklehull-VNR","4","CP2501","PDREC_F73","407","4","9","SouthernExposureSeedExchange_Knucklehull-VNR_2025","54","CP2501_409","2025-06-16",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Big Red Ripper","4","CP2501","PDREC_F74","406","4","10","SouthernExposureSeedExchange_BigRedRipper_2025","55","CP2501_410",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cowpea Phenomenal","4","CP2501","PDREC_F75","405","4","11","HarrisSeed_CowpeaPhenomenal_2025","56","CP2501_411","2025-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hercules","4","CP2501","PDREC_F76","404","4","12","SouthernExposureSeedExchange_Hercules_2025","57","CP2501_412",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bettersnap","4","CP2501","PDREC_F77","403","4","13","SouthernExposureSeedExchange_Bettersnap_2025","58","CP2501_413","2025-06-16",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ogle Southern Pea","4","CP2501","PDREC_F78","402","4","14","SCCropImprovement_OgleSouthernPea_2025","59","CP2501_414","2025-06-14",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zipper Cream","4","CP2501","PDREC_F79","401","4","15","SouthernExposureSeedExchange_ZipperCream_2025","60","CP2501_415","2025-06-16",,,,,,,,,,,,,,,,,,,,,,,,,,,
