"accession_name","block","common_name","experiment","minicore_id","plot_name","plot_number","population_name","range","row","seedlot_name","sort","first flower date","seed count","Minicore #","DNA ID"
"TVu-12897",NA,NA,"GHC2501","MinicoreUCR_123","GHC2501_242",242,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_123_2025",142,NA,19,"MinicoreUCR_123",5009
"TVu-6439",NA,NA,"GHC2501","MinicoreUCR_270","GHC2501_367",367,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_270_2025",267,"3/16/26",19,"MinicoreUCR_270",5154
"UCR_1432",NA,"UCR 1432","GHC2501","MinicoreUCR_360","GHC2501_429",429,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_360_2025",329,NA,19,"MinicoreUCR_360",5244
"Cp_4906",NA,"Cp 4906","GHC2501","MinicoreUCR_392","GHC2501_454",454,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_392_2025",354,"3/13/26",20,"MinicoreUCR_392",5886
"Vg48",NA,NA,"GHC2501","MinicoreUCR_395","GHC2501_457",457,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_395_2025",357,"3/13/26",20,"MinicoreUCR_395",5889
"524B",NA,"524-B","GHC2501","MinicoreUCR_003","GHC2501_141",141,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_003_2025",41,"3/5/26",21,"MinicoreUCR_003",4889
"IT99K-124-5",NA,NA,"GHC2501","MinicoreUCR_075","GHC2501_199",199,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_075_2025",99,"3/25/26",21,"MinicoreUCR_075",4961
"TVu-14272",NA,NA,"GHC2501","MinicoreUCR_147","GHC2501_264",264,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_147_2025",164,"3/13/26",21,"MinicoreUCR_147",5033
"IT97K-207-21",NA,NA,"GHC2501","MinicoreUCR_059","GHC2501_186",186,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_059_2025",86,"3/13/26",22,"MinicoreUCR_059",4945
"IT98K-205-8",NA,NA,"GHC2501","MinicoreUCR_070","GHC2501_195",195,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_070_2025",95,"3/11/26",22,"MinicoreUCR_070",4956
"Suvita-2",NA,NA,"GHC2501","MinicoreUCR_099","GHC2501_221",221,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_099_2025",121,"3/16/26",22,"MinicoreUCR_099",4986
"IT97K-207-15",NA,NA,"GHC2501","MinicoreUCR_058","GHC2501_185",185,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_058_2025",85,"3/27/26",23,"MinicoreUCR_058",4944
"TVu-13388",NA,NA,"GHC2501","MinicoreUCR_131","GHC2501_249",249,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_131_2025",149,NA,23,"MinicoreUCR_131",5017
"TVu-16403",NA,NA,"GHC2501","MinicoreUCR_201","GHC2501_310",310,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_201_2025",210,NA,23,"MinicoreUCR_201",5086
"Vg56",NA,NA,"GHC2501","MinicoreUCR_397","GHC2501_459",459,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_397_2025",359,"3/13/26",23,"MinicoreUCR_397",5891
"CB3",NA,NA,"GHC2501","MinicoreUCR_013","GHC2501_147",147,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_013_2025",47,"3/10/26",24,"MinicoreUCR_013",4899
"IAR7/8-4-5-1",NA,NA,"GHC2501","MinicoreUCR_032","GHC2501_160",160,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_032_2025",60,"3/13/26",24,"MinicoreUCR_032",4918
"IT86D-364",NA,NA,"GHC2501","MinicoreUCR_048","GHC2501_175",175,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_048_2025",75,"3/13/26",24,"MinicoreUCR_048",4934
"IT95M-190",NA,NA,"GHC2501","MinicoreUCR_056","GHC2501_183",183,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_056_2025",83,"3/9/26",24,"MinicoreUCR_056",4942
"TVu-2322",NA,NA,"GHC2501","MinicoreUCR_221","GHC2501_325",325,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_221_2025",225,NA,24,"MinicoreUCR_221",5106
"Danila",NA,NA,"GHC2501","MinicoreUCR_022","GHC2501_151",151,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_022_2025",51,"3/13/26",25,"MinicoreUCR_022",4908
"INIA-5E",NA,NA,"GHC2501","MinicoreUCR_039","GHC2501_167",167,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_039_2025",67,NA,25,"MinicoreUCR_039",4925
"INIA-34",NA,NA,"GHC2501","MinicoreUCR_036","GHC2501_164",164,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_036_2025",64,"3/27/26",26,"MinicoreUCR_036",4922
"IT95K-1093-5",NA,NA,"GHC2501","MinicoreUCR_052","GHC2501_179",179,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_052_2025",79,"4/1/26",26,"MinicoreUCR_052",4938
"TVu-15687",NA,NA,"GHC2501","MinicoreUCR_183","GHC2501_296",296,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_183_2025",196,"4/1/26",26,"MinicoreUCR_183",5068
"TVu-8713",NA,NA,"GHC2501","MinicoreUCR_317","GHC2501_396",396,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_317_2025",296,"4/1/26",26,"MinicoreUCR_317",5201
"Apagbaala",NA,NA,"GHC2501","MinicoreUCR_006","GHC2501_143",143,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_006_2025",43,"3/13/26",27,"MinicoreUCR_006",4892
"IT89KD-288",NA,NA,"GHC2501","MinicoreUCR_049","GHC2501_176",176,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_049_2025",76,"4/1/26",27,"MinicoreUCR_049",4935
"IT95K-1105-5",NA,NA,"GHC2501","MinicoreUCR_053","GHC2501_180",180,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_053_2025",80,"3/10/26",27,"MinicoreUCR_053",4939
"IT98K-555-1",NA,NA,"GHC2501","MinicoreUCR_073","GHC2501_198",198,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_073_2025",98,NA,27,"MinicoreUCR_073",4959
"TVu-1124",NA,NA,"GHC2501","MinicoreUCR_115","GHC2501_234",234,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_115_2025",134,NA,27,"MinicoreUCR_115",5001
"TVu-14336",NA,NA,"GHC2501","MinicoreUCR_149","GHC2501_266",266,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_149_2025",166,NA,27,"MinicoreUCR_149",5035
"TVu-7362",NA,NA,"GHC2501","MinicoreUCR_287","GHC2501_373",373,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_287_2025",273,NA,27,"MinicoreUCR_287",5720
"UCR_5275",NA,"UCR 5275","GHC2501","MinicoreUCR_374","GHC2501_438",438,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_374_2025",338,"4/1/26",27,"MinicoreUCR_374",5257
"IT96D-610",NA,NA,"GHC2501","MinicoreUCR_057","GHC2501_184",184,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_057_2025",84,"3/23/26",28,"MinicoreUCR_057",4943
"TVu-4669",NA,NA,"GHC2501","MinicoreUCR_262","GHC2501_359",359,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_262_2025",259,"3/30/26",28,"MinicoreUCR_262",5146
"TVu-16504",NA,NA,"GHC2501","MinicoreUCR_205","GHC2501_313",313,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_205_2025",213,"3/16/26",29,"MinicoreUCR_205",5090
"TVu-4984",NA,NA,"GHC2501","MinicoreUCR_265","GHC2501_362",362,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_265_2025",262,"4/1/26",29,"MinicoreUCR_265",5149
"UCR_24",NA,"UCR 24","GHC2501","MinicoreUCR_363","GHC2501_432",432,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_363_2025",332,"3/13/26",29,"MinicoreUCR_363",5247
"IT00K-901-6",NA,NA,"GHC2501","MinicoreUCR_042","GHC2501_169",169,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_042_2025",69,"3/6/26",30,"MinicoreUCR_042",4928
"KVx-421-25",NA,"KVx 421-25","GHC2501","MinicoreUCR_078","GHC2501_202",202,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_078_2025",102,"3/13/26",30,"MinicoreUCR_078",4964
"Lyg_321-2",NA,"Lyg 321-2","GHC2501","MinicoreUCR_083","GHC2501_207",207,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_083_2025",107,"3/13/26",30,"MinicoreUCR_083",4969
"TVu-14401",NA,NA,"GHC2501","MinicoreUCR_153","GHC2501_270",270,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_153_2025",170,NA,30,"MinicoreUCR_153",5039
"TVu-7625",NA,NA,"GHC2501","MinicoreUCR_290","GHC2501_375",375,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_290_2025",275,NA,30,"MinicoreUCR_290",5174
"UCR_1342",NA,"UCR 1342","GHC2501","MinicoreUCR_359","GHC2501_428",428,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_359_2025",328,NA,30,"MinicoreUCR_359",5243
"Cp_5556",NA,"Cp 5556","GHC2501","MinicoreUCR_393","GHC2501_455",455,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_393_2025",355,"3/25/26",30,"MinicoreUCR_393",5887
"Vg72",NA,NA,"GHC2501","MinicoreUCR_401","GHC2501_462",462,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_401_2025",362,"3/12/26",30,"MinicoreUCR_401",5895
"TVu-1715",NA,NA,"GHC2501","MinicoreUCR_210","GHC2501_316",316,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_210_2025",216,"3/16/26",31,"MinicoreUCR_210",5095
"TVu-2168",NA,NA,"GHC2501","MinicoreUCR_219","GHC2501_323",323,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_219_2025",223,NA,31,"MinicoreUCR_219",5104
"CB46",NA,NA,"GHC2501","MinicoreUCR_403","GHC2501_464",464,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_403_2025",364,"3/13/26",31,"MinicoreUCR_403",9043
"Mougne",NA,NA,"GHC2501","MinicoreUCR_087","GHC2501_210",210,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_087_2025",110,NA,32,"MinicoreUCR_087",4973
"TVu-2280",NA,NA,"GHC2501","MinicoreUCR_220","GHC2501_324",324,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_220_2025",224,"3/23/26",32,"MinicoreUCR_220",5105
"IT84S-2246",NA,NA,"GHC2501","MinicoreUCR_046","GHC2501_173",173,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_046_2025",73,"3/13/26",33,"MinicoreUCR_046",4932
"IT93K-503-1",NA,NA,"GHC2501","MinicoreUCR_051","GHC2501_178",178,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_051_2025",78,"3/30/26",33,"MinicoreUCR_051",4937
"IT97K-499-39-1-1",NA,NA,"GHC2501","MinicoreUCR_062","GHC2501_189",189,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_062_2025",89,"3/13/26",33,"MinicoreUCR_062",4948
"TVu-16505",NA,NA,"GHC2501","MinicoreUCR_206","GHC2501_314",314,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_206_2025",214,"3/23/26",33,"MinicoreUCR_206",5091
"IT98D-1399",NA,NA,"GHC2501","MinicoreUCR_066","GHC2501_192",192,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_066_2025",92,"3/11/26",34,"MinicoreUCR_066",4952
"TVu-2680",NA,NA,"GHC2501","MinicoreUCR_227","GHC2501_331",331,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_227_2025",231,"3/16/26",34,"MinicoreUCR_227",5112
