"experiment","plot_name","accession_name","common_name","plot_number","range","row","block","seedlot_name"
"CP2602","CP2602_317","IT82E-18",NA,317,3,17,"3","GHC2501_170_SL"
"CP2602","CP2602_318","TVu-16220",NA,318,3,18,"3","GHC2501_303_SL"
"CP2602","CP2602_319","Check3","Dixie Lee Pea",319,3,19,"3","KellySeedDillon_DixieLeaPea_2024"
"CP2602","CP2602_320","Check2","Top Pick Pinkeye Pea",320,3,20,"3","Hoss_TopPickPinkeyePea_2024"
"CP2602","CP2602_321","Vg62",NA,321,3,21,"3","GHC2501_461_SL"
"CP2602","CP2602_322","TVu-3076",NA,322,3,22,"3","GHC2501_339_SL"
"CP2602","CP2602_323","TVu-264",NA,323,3,23,"3","GHC2501_330_SL"
"CP2602","CP2602_324","TVu-972",NA,324,3,24,"3","GHC2501_420_SL"
"CP2602","CP2602_325","TVu-14224",NA,325,3,25,"3","GHC2501_261_SL"
"CP2602","CP2602_401","TVu-6365",NA,401,4,1,"4","GHC2501_366_SL"
"CP2602","CP2602_402","TVu-2322",NA,402,4,2,"4","GHC2501_325_SL"
"CP2602","CP2602_403","PI 663152","CR 22-2-21",403,4,3,"4","GRIN_PI663152_2026"
"CP2602","CP2602_404","TVu-8656",NA,404,4,4,"4","GHC2501_392_SL"
"CP2602","CP2602_405","Cameroon_12-58","Cameroon 12-58",405,4,5,"4","GHC2501_145_SL"
"CP2602","CP2602_406","PI 532807","IT86D-1010",406,4,6,"4","GRIN_PI532807_2026"
"CP2602","CP2602_407","IT83D-442",NA,407,4,7,"4","GHC2501_171_SL"
"CP2602","CP2602_408","TVu-9393",NA,408,4,8,"4","GHC2501_405_SL"
"CP2602","CP2602_409","TVu-15687",NA,409,4,9,"4","GHC2501_296_SL"
"CP2602","CP2602_410","TVu-9557",NA,410,4,10,"4","GHC2501_416_SL"
"CP2602","CP2602_411","Check1","Coronet Pinkeye Purplehull",411,4,11,"4","KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2602","CP2602_412","Check3","Dixie Lee Pea",412,4,12,"4","KellySeedDillon_DixieLeaPea_2024"
"CP2602","CP2602_413","UCR_193","UCR 193",413,4,13,"4","GHC2501_431_SL"
"CP2602","CP2602_414","TVu-3043",NA,414,4,14,"4","GHC2501_338_SL"
"CP2602","CP2602_415","PI 535810","US-432",415,4,15,"4","GRIN_PI535810_2026"
"CP2602","CP2602_416","TVu-12897",NA,416,4,16,"4","GHC2501_242_SL"
"CP2602","CP2602_417","IAR7/8-4-5-1",NA,417,4,17,"4","GHC2501_160_SL"
"CP2602","CP2602_418","TVu-2168",NA,418,4,18,"4","GHC2501_323_SL"
"CP2602","CP2602_419","PI 591476","Kunde Zulu",419,4,19,"4","GRIN_PI591476_2026"
"CP2602","CP2602_420","TVu-16237",NA,420,4,20,"4","GHC2501_304_SL"
"CP2602","CP2602_421","TVu-7362",NA,421,4,21,"4","GHC2501_373_SL"
"CP2602","CP2602_422","UCR_24","UCR 24",422,4,22,"4","GHC2501_432_SL"
"CP2602","CP2602_423","Check2","Top Pick Pinkeye Pea",423,4,23,"4","Hoss_TopPickPinkeyePea_2024"
"CP2602","CP2602_424","Vg50",NA,424,4,24,"4","GHC2501_458_SL"
"CP2602","CP2602_425","Cp_4906","Cp 4906",425,4,25,"4","GHC2501_454_SL"
